date,invoice,company,netto,vat,total,currency,files
2022-08-19,SR00060,LOGIC MILES Limited Liability Company,21000,0,21000,USD,[228536239]
2022-09-15,SR00059,ООО «Интра-М»,5770,0,5770,EUR,[228533976]
2023-01-06,SR00058,HCL EXPRESS OÜ ,40150,0,40150,EUR,no file
2023-02-01,SR00057,ImpexTransService LLC,23370,0,23370,EUR,no file
2022-12-30,SR00056,HCL EXPRESS OÜ ,3650,0,3650,EUR,no file
2022-12-01,SR00055,HCL EXPRESS OÜ ,4300,0,4300,EUR,no file
2023-01-25,SR00054,AST PLUS LLC,50000,0,50000,EUR,no file
2023-01-23,SR00053,ASVIK LTD CO,26458,0,26458,EUR,no file
2023-01-20,SR22052,ImpexTransService LLC,8200,0,8200,EUR,no file
2023-01-02,SR22051,HCL EXPRESS OÜ ,45150,0,45150,EUR,no file
2023-01-11,SR22050,ULTRA GLOBAL FORWARDING Ltd.,15510,0,15510,EUR,no file
2023-01-13,SR22048,ImpexTransService LLC,8200,0,8200,EUR,no file
2023-01-10,SR22047,ИП Максимов Л.Г.,17500,0,17500,EUR,no file
2023-01-02,SR22046,CARGOWILL LTD ,220500,0,220500,EUR,no file
2022-12-29,SR22044,ООО АТП Невское,12539,0,12539,EUR,no file
2022-12-23,SR22043,ROXOR INDUSTRY ZAO,2500,0,2500,EUR,no file
2022-12-23,SR22042,ROXOR INDUSTRY ZAO,1000,0,1000,EUR,no file
2022-12-23,SR22041,ROXOR INDUSTRY ZAO,5900,0,5900,EUR,no file
2022-12-14,SR22040,HCL EXPRESS OÜ ,7850,0,7850,EUR,no file
2022-12-12,SR22039,ULTRA GLOBAL FORWARDING Ltd.,27000,0,27000,EUR,no file
2022-12-07,SR22038,LOGOLINK-TRANS OOO ,11000,0,11000,EUR,no file
2022-11-01,SR22037,HCL EXPRESS OÜ ,22100,0,22100,EUR,no file
2022-11-09,SR22036,ImpexTransService LLC,14850,0,14850,EUR,no file
2022-11-09,SR22035,ImpexTransService LLC,9500,0,9500,EUR,no file
2022-11-09,SR22034,ImpexTransService LLC,6700,0,6700,EUR,no file
2022-11-02,SR22033,HCL EXPRESS OÜ ,40100,0,40100,EUR,no file
2022-10-24,SR22032,HCL EXPRESS OÜ ,18050,0,18050,EUR,no file
2022-10-31,SR22031,Transpol Expedition Ltd,5100,0,5100,USD,no file
2022-10-31,SR22030,Transpol Expedition Ltd,5100,0,5100,USD,no file
2022-10-26,SR22029,ImpexTransService LLC,20250,0,20250,EUR,no file
2022-10-14,SR22028,Transpol Expedition Ltd,4800,0,4800,USD,no file
2022-10-03,SR22027,HCL EXPRESS OÜ ,44232,0,44232,EUR,no file
2022-09-01,SR22026,HCL EXPRESS OÜ ,40100,0,40100,EUR,no file
2022-10-03,SR22024,MEGAREKS OOO,36619,0,36619,EUR,no file
2022-09-30,SR22023,ООО «Интра-М»,23980,0,23980,EUR,no file
2022-09-30,SR22022,ООО «Интра-М»,4320,0,4320,EUR,no file
2022-09-30,SR22021,ООО «Интра-М»,9070,0,9070,EUR,no file
2022-09-30,SR22020,ООО «Интра-М»,6835,0,6835,EUR,no file
2022-09-19,SR22019,ООО «Интра-М»,5770,0,5770,EUR,no file
2022-09-19,SR22018,ООО «Интра-М»,4270,0,4270,EUR,no file
2022-09-19,SR22017,ООО «Интра-М»,4420,0,4420,EUR,no file
2022-09-19,SR22016,ООО «Интра-М»,8005,0,8005,EUR,no file
2022-09-19,SR22015,ООО «Интра-М»,7715,0,7715,EUR,no file
2022-09-19,SR22014,ООО «Интра-М»,7760,0,7760,EUR,no file
2022-09-19,SR22013,ООО «Интра-М»,7135,0,7135,EUR,no file
2022-09-15,SR22011,MEGAREKS OOO,18000,0,18000,EUR,no file
2022-09-07,SR22008,Favorit Plast LLC ,9950,0,9950,USD,[228540288]
2022-08-23,SR22006,ROXOR INDUSTRY ZAO,5900,0,5900,EUR,[228540148]
2022-08-23,SR22005,Transpol Expedition Ltd,3500,0,3500,USD,[228539878]
2022-08-23,SR22004,Transpol Expedition Ltd,5500,0,5500,USD,[228539464]
